sleep_schedule_diff,wakeup_schedule_diff,cleanliness_diff,study_hours_diff,noise_tolerance_diff,room_temperature_diff,social_energy_diff,spending_habit_diff,guest_frequency_diff,gaming_time_diff,food_preference_similarity,music_preference_similarity,study_style_similarity,communication_style_similarity,organization_similarity,workout_routine_similarity,hobby_similarity,academic_goal_similarity,room_usage_similarity,weekend_activity_similarity,gamer_vs_light_sleeper,extrovert_vs_introvert_conflict,messy_vs_clean_conflict,nightowl_vs_earlybird_conflict,loud_music_vs_noise_sensitive,guest_heavy_vs_private_person,high_spender_vs_budget_person,group_study_vs_solo_study,fitness_focused_vs_irregular,emotional_expressive_vs_reserved,compatibility_score,compatibility_label
0.88,0.27,0.28,0.50,0.77,0.06,0.85,0.17,0.42,0.37,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1.54,1
0.57,0.14,0.33,0.86,0.39,0.32,0.66,0.46,0.05,0.48,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,47.86,3
0.32,0.14,0.57,0.18,0.21,0.12,0.57,0.21,0.52,0.71,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,30.62,2
0.25,0.34,0.74,0.05,0.73,0.25,0.17,0.19,0.57,0.46,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,56.28,3
0.24,0.42,0.84,0.53,0.46,0.10,0.69,0.01,0.22,0.47,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,37.62,2
0.52,0.29,0.36,0.76,0.44,0.29,0.25,0.62,0.42,0.49,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,6.67,1
0.09,0.29,0.71,0.18,0.70,0.13,0.15,0.72,0.34,0.20,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,72.10,4
0.23,0.51,0.45,0.04,0.39,0.31,0.40,0.64,0.10,0.52,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,64.84,4
0.15,0.13,0.54,0.54,0.50,0.29,0.57,0.38,0.38,0.64,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,57.42,3
0.41,0.32,0.67,0.07,0.25,0.19,0.65,0.27,0.32,0.49,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,87.99,5
0.61,0.36,0.36,0.26,0.23,0.20,0.45,0.21,0.35,0.10,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,65.48,4
0.12,0.65,0.74,0.79,0.81,0.66,0.46,0.14,0.73,0.48,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,52.11,3
0.44,0.03,0.26,0.19,0.38,0.33,0.63,0.16,0.55,0.24,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,64.80,4
0.54,0.23,0.71,0.69,0.40,0.10,0.48,0.49,0.59,0.27,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,29.02,2
